Date,DaysToNextTradingDay,DayBeforeHoliday,Volume,Return,OvernightReturn,IntradayTradingRange,BBBBondMargin,CorporateBondMargin,Dispersion
2002-01-07,1,No,1158530944.4125,-0.003977754054217042,0.002803621509032303,0.025839475349362862,1.9200000000000008,1.2000000000000002,0.017737496269554762
2002-01-08,1,No,1065165735.0324998,-0.0024623501147391725,1.308216771142677e-4,0.023906569786398744,1.92,1.21,0.015898212621604294
2002-01-09,1,No,1354406667.0099998,-0.0025724053401782834,0.0015123038610252305,0.027851894878668265,1.9400000000000004,1.2200000000000006,0.01760466079327762
2002-01-10,1,No,1136415841.0174997,-0.0015268213293029476,-2.378428263846038e-4,0.024821629055438804,1.9400000000000004,1.21,0.018566858171965916
2002-01-11,3,No,1065469448.8649998,-0.008937250968024436,5.809126903948455e-4,0.024905731993165838,1.9900000000000002,1.2400000000000002,0.017816963159139686
2002-01-14,1,No,1094019365.8149998,-0.006719738038842549,-0.001383215481283115,0.02642283117334362,1.9700000000000006,1.2200000000000006,0.018783600093470947
2002-01-15,1,No,1254520897.3874998,0.0047335811915850306,0.0015898227923552472,0.026290193197885635,1.9500000000000002,1.21,0.018282293751213676
2002-01-16,1,No,1240332502.1399999,-0.013593150239524803,-0.004114158842920529,0.029965842778246935,1.9499999999999993,1.21,0.01771561894070216
2002-01-17,1,No,1225479321.8174999,0.008297807506486204,0.004233001362317903,0.025601423937175613,1.9500000000000002,1.2199999999999998,0.01906762772062399
2002-01-18,4,Yes,1247798583.1349998,-0.005370589125557755,-0.005769298103664617,0.02373415574216692,1.9499999999999993,1.21,0.016192398944766904
2002-01-22,1,No,1139434181.8024998,-0.0024121788149342725,0.005622268031886129,0.02776077183388205,1.9500000000000002,1.2000000000000002,0.02083811117170786
2002-01-23,1,No,1296398029.475,0.01082368769803532,0.01807542763890449,0.029989466999839908,1.96,1.2000000000000002,0.024151205700740135
2002-01-24,1,No,1439708488.6449997,0.009379193576224522,0.005750108260927303,0.03013993442188472,1.92,1.17,0.02720212205700716
2002-01-25,3,No,1187331664.8999996,0.004566412365236649,-0.0018473522757562995,0.027328521606667353,1.9100000000000001,1.17,0.017881352728006884
2002-01-28,1,No,1010340759.0674998,0.0018442836681954726,0.008438438215716208,0.025094106543783905,1.9000000000000004,1.1600000000000001,0.02158864251766322
2002-01-29,1,No,1518843452.8949997,-0.019729178856581008,8.791219080640157e-4,0.03913487597750996,1.92,1.1800000000000006,0.0272744402997431
2002-01-30,1,No,1682279115.3799999,0.011291541126690627,-0.001512083236561399,0.03968098026706371,1.9299999999999997,1.21,0.018682824756246143
2002-01-31,1,No,1365596570.4324996,0.014280911015132116,0.002645891368101211,0.029846073131197075,1.8500000000000005,1.1600000000000001,0.019217819090905357
2002-02-01,3,No,1200608002.2999997,-0.004105130511905659,0.009577693832759719,0.026734121434031758,1.8499999999999996,1.1500000000000004,0.02069106479445015
2002-02-04,1,No,1173468391.1899996,-0.017940586053468044,-0.002218306156094885,0.03252888543996534,1.9000000000000004,1.1900000000000004,0.02399405764378959
2002-02-05,1,No,1352420459.7649996,-0.003886065158839486,-0.0037677454361720684,0.03295916247784254,2.01,1.2599999999999998,0.028408879651917747
2002-02-06,1,No,1408628069.7049997,-0.005842918300329014,0.0011890493382568665,0.03265763870997172,2.0500000000000007,1.3100000000000005,0.025504820413942152
2002-02-07,1,No,1375105113.2574997,-0.00297392768130333,4.0649969495444214e-4,0.031379532551217365,2.0699999999999994,1.3199999999999994,0.02203347386270918
2002-02-08,3,No,1318334899.4275,0.011905090477973262,0.0017172303430364624,0.03246705847907064,2.0299999999999994,1.2699999999999996,0.02493780440196653
2002-02-11,1,No,1099004073.8124998,0.017024654797181613,8.35122803873337e-4,0.0317243272451292,2.0700000000000003,1.29,0.022738886334251848
2002-02-12,1,No,974025121.6199998,-0.0029777650874717072,-0.0032500119029035563,0.023756505095644635,2.0600000000000005,1.2800000000000002,0.014352863443379443
2002-02-13,1,No,1046668481.2149999,0.008659486769721399,0.002144278781018842,0.026347338512685517,2.04,1.2700000000000005,0.019218373334901236
2002-02-14,1,No,1054398445.3449999,-0.0012067720723455736,0.0016029188480544223,0.026103198913264278,2.01,1.25,0.01858656219179562
2002-02-15,4,Yes,1121819394.2199998,-0.003930293327173163,0.009994538785266106,0.027244420497323153,2.04,1.2599999999999998,0.01984752320895634
2002-02-19,1,No,1063688019.3474997,-0.014616444685463609,-0.00461427314400807,0.027842325798891895,2.08,1.2999999999999998,0.01760552991430097
2002-02-20,1,No,1231923873.1674998,0.009300459314652024,0.016312058220183456,0.032542894729588726,2.0999999999999996,1.3099999999999996,0.025161228534334827
