created_date,created_num,converted_num,converted_run_total,created_run_total,converted_rate,log_of_converted_rate,converted_run_total_log,created_run_total_log,converted_rate_log
2018-08-19,132,18,662,4169,15.879107699688175,2.7650042640443027,6.495265555937008,8.335431477880796,77.92356728230662
2018-08-26,36,23,685,4205,16.29013079667063,2.790559451843268,6.529418838262226,8.344029572407049,78.25258505619902
2018-09-02,108,16,701,4313,16.25318803616972,2.7882890763748382,6.55250788703459,8.369388996647842,78.29135304451782
2018-09-09,72,13,714,4385,16.28278221208666,2.7901082435213924,6.570882962339584,8.385944904806284,78.3559042770908
2018-09-16,282,18,732,4667,15.684593957574458,2.7526789539995873,6.595780513961311,8.448271745949816,78.07254208085095
2018-09-23,185,54,786,4852,16.199505358615003,2.784980708353357,6.666956792429207,8.48714627006394,78.55357478573276
2018-09-30,238,22,808,5090,15.87426326129666,2.7646991349646184,6.694562058521095,8.53503310954457,78.43627520360396
2018-10-07,56,27,835,5146,16.226195102992616,2.7866269179972574,6.727431724850855,8.545974992841689,78.72047051958275
2018-10-14,325,22,857,5471,15.664412356059222,2.751391410522045,6.75343791859778,8.607216694063826,78.4625060416505
2018-10-21,54,31,888,5525,16.07239819004525,2.777103402594308,6.78897174299217,8.617038526385954,78.78544029023288
2018-10-28,145,40,928,5670,16.3668430335097,2.795257522052494,6.833031732786201,8.642944396721798,79.05907314847376
2018-11-04,285,39,967,5955,16.238455079764904,2.787382199651985,6.874198495453294,8.691986481789401,79.08662202656943
2018-11-11,150,25,992,6105,16.24897624897625,2.788029906728159,6.899723107284872,8.716863386544805,79.1537368583195
2018-11-18,137,29,1021,6242,16.35693687920538,2.794652081322032,6.928537818164665,8.739055922830724,79.28245201022123
2018-11-25,150,20,1041,6392,16.285982478097623,2.79030476715695,6.947937068614969,8.76280248744611,79.28898407294722
2018-12-02,165,37,1078,6557,16.440445325606223,2.7997444771934146,6.982862751468942,8.788288460263619,79.45645825170696
2018-12-09,154,24,1102,6711,16.420801668901802,2.7985489255427116,7.004881989712859,8.811503250158239,79.49701419660786
2018-12-16,121,18,1120,6832,16.39344262295082,2.796881414808826,7.02108396428914,8.829372735468406,79.51962358645024
2018-12-23,160,20,1140,6992,16.304347826086957,2.791431810041261,7.038783541388542,8.852521917335372,79.51161948105327
2018-12-30,43,3,1143,7035,16.247334754797443,2.787928880234413,7.04141166379481,8.858652969548489,79.48625697382634
2019-01-06,21,30,1173,7056,16.624149659863946,2.8108564369549396,7.067319848653476,8.861633597686627,79.75188514337171
2019-01-13,175,43,1216,7231,16.816484580279354,2.822359630339252,7.103322062526113,8.886132618174951,79.93716015443628
