converted_date,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2017-02-19,1,45,5,1
2017-02-26,0,44,4,0
2017-03-05,0,43,3,3
2017-03-12,1,42,2,2
2017-03-19,2,41,1,1
2017-03-26,1,40,0,0
2017-04-02,1,39,12,4
2017-04-09,1,38,11,3
2017-04-16,0,37,10,2
2017-04-23,2,36,9,1
2017-04-30,2,35,8,0
2017-05-07,1,34,7,3
2017-05-14,0,33,6,2
2017-05-21,1,32,5,1
2017-05-28,0,31,4,0
2017-06-04,2,30,3,3
2017-06-11,3,29,2,2
2017-06-18,3,28,1,1
2017-06-25,1,27,0,0
2017-07-02,4,26,12,4
2017-07-09,1,25,11,3
2017-07-16,3,24,10,2
2017-07-23,1,23,9,1
2017-07-30,1,22,8,0
2017-08-06,4,21,7,3
2017-08-13,0,20,6,2
2017-08-20,4,19,5,1
2017-08-27,2,18,4,0
2017-09-03,2,17,3,3
2017-09-10,2,16,2,2
2017-09-17,1,15,1,1
2017-09-24,1,14,0,0
2017-10-01,3,13,13,4
2017-10-08,3,12,12,3
2017-10-15,0,11,11,2
2017-10-22,4,10,10,1
2017-10-29,5,9,9,0
2017-11-05,5,8,8,3
2017-11-12,1,7,7,2
2017-11-19,2,6,6,1
2017-11-26,3,5,5,0
2017-12-03,1,4,4,4
2017-12-10,2,3,3,3
2017-12-17,4,2,2,2
2017-12-24,2,1,1,1
2017-12-31,0,0,0,0
2018-01-07,2,51,11,3
2018-01-14,5,50,10,2
2018-01-21,6,49,9,1
2018-01-28,8,48,8,0
2018-02-04,7,47,7,3
2018-02-11,3,46,6,2
2018-02-18,0,45,5,1
2018-02-25,8,44,4,0
2018-03-04,6,43,3,3
2018-03-11,14,42,2,2
2018-03-18,5,41,1,1
2018-03-25,5,40,0,0
2018-04-01,6,39,12,4
2018-04-08,6,38,11,3
2018-04-15,5,37,10,2
2018-04-22,3,36,9,1
2018-04-29,4,35,8,0
2018-05-06,3,34,7,3
2018-05-13,2,33,6,2
2018-05-20,8,32,5,1
2018-05-27,7,31,4,0
2018-06-03,7,30,3,3
2018-06-10,6,29,2,2
2018-06-17,9,28,1,1
2018-06-24,7,27,0,0
2018-07-01,9,26,13,4
2018-07-08,4,25,12,3
2018-07-15,4,24,11,2
2018-07-22,2,23,10,1
2018-07-29,5,22,9,0
2018-08-05,2,21,8,3
2018-08-12,5,20,7,2
2018-08-19,8,19,6,1
2018-08-26,7,18,5,0
2018-09-02,7,17,4,4
2018-09-09,2,16,3,3
2018-09-16,2,15,2,2
2018-09-23,6,14,1,1
2018-09-30,8,13,0,0
2018-10-07,7,12,12,3
2018-10-14,8,11,11,2
2018-10-21,10,10,10,1
2018-10-28,4,9,9,0
2018-11-04,14,8,8,3
2018-11-11,10,7,7,2
2018-11-18,6,6,6,1
2018-11-25,3,5,5,0
2018-12-02,6,4,4,4
2018-12-09,4,3,3,3
2018-12-16,6,2,2,2
2018-12-23,6,1,1,1
2018-12-30,0,0,0,0
2019-01-06,10,51,12,3
2019-01-13,8,50,11,2
2019-01-20,8,49,10,1
2019-01-27,8,48,9,0
2019-02-03,4,47,8,3
2019-02-10,5,46,7,2
2019-02-17,5,45,6,1
2019-02-24,5,44,5,0
2019-03-03,10,43,4,4
2019-03-10,5,42,3,3
2019-03-17,8,41,2,2
2019-03-24,19,40,1,1
2019-03-31,2,39,0,0
2019-04-07,5,38,12,3
2019-04-14,9,37,11,2
2019-04-21,12,36,10,1
2019-04-28,12,35,9,0
2019-05-05,9,34,8,3
2019-05-12,5,33,7,2
2019-05-19,17,32,6,1
2019-05-26,6,31,5,0
2019-06-02,10,30,4,4
2019-06-09,5,29,3,3
2019-06-16,8,28,2,2
2019-06-23,4,27,1,1
2019-06-30,9,26,0,0
2019-07-07,2,25,12,3
2019-07-14,4,24,11,2
2019-07-21,5,23,10,1
2019-07-28,7,22,9,0
2019-08-04,10,21,8,3
2019-08-11,5,20,7,2
2019-08-18,5,19,6,1
2019-08-25,6,18,5,0
2019-09-01,8,17,4,4
2019-09-08,3,16,3,3
2019-09-15,13,15,2,2
2019-09-22,9,14,1,1
2019-09-29,7,13,0,0
2019-10-06,8,12,12,3
2019-10-13,4,11,11,2
